timestamp,open,high,low,close,volume,trades,price_change_pct,volume_ma,volume_ratio,is_pump_dump
2024-07-14,0.5257,0.54,0.5136,0.5205,350964405.0,379986,0.24076281287246726,432674280.28571427,0.8111515312817819,0
2024-07-15,0.5205,0.5404,0.5203,0.5372,437376565.0,356488,0.24467099165894357,419621843.4285714,1.0423112424900511,0
2024-07-16,0.5372,0.5945,0.5309,0.5793,824632586.0,900990,0.32988980716253447,496067588.5714286,1.6623391751409726,0
2024-07-17,0.5792,0.6378,0.5783,0.626,806805412.0,963332,0.42661804922515945,569234120.0,1.4173525156924887,0
2024-07-18,0.626,0.6369,0.5575,0.5697,660623865.0,807466,0.26853707414829664,613959290.8571428,1.0760059743989039,0
2024-07-19,0.5697,0.5867,0.54,0.5733,539155049.0,648402,0.2082191780821918,623412176.5714285,0.8648452328364578,0
2024-07-20,0.5733,0.6047,0.5707,0.5937,300097994.0,413159,0.129351341069051,559950839.4285715,0.5359363230998088,0
2024-07-21,0.5938,0.608,0.5721,0.5984,291988877.0,426022,0.14966378482228637,551525764.0,0.529420194049176,0
2024-07-22,0.5985,0.6229,0.5855,0.608,412923068.0,556906,0.1317944899478778,548032407.2857143,0.7534646902454518,0
2024-07-23,0.608,0.617,0.5797,0.5975,353756166.0,511032,0.031417227688589566,480764347.28571427,0.7358202994819115,0
2024-07-24,0.5976,0.6327,0.5915,0.6179,420617643.0,562664,-0.012939297124600624,425594666.0,0.9883057204481035,0
2024-07-25,0.6179,0.629,0.5844,0.5996,485187006.0,772378,0.052483763384237436,400532257.5714286,1.211355631982961,0
2024-07-26,0.5996,0.6093,0.586,0.6034,268729317.0,384185,0.05250305250305254,361900010.14285713,0.7425512834164366,0
2024-07-27,0.6033,0.6091,0.5833,0.5956,172975781.0,297345,0.0032002694963786382,343739694.0,0.5032173590053873,0
2024-07-28,0.5956,0.6161,0.591,0.6012,182173334.0,261276,0.004679144385026701,328051759.28571427,0.5553188752794874,0
2024-07-29,0.6012,0.6124,0.5921,0.6019,235245176.0,290706,-0.010032894736842102,302669203.28571427,0.7772352569941937,0
2024-07-30,0.6019,0.6379,0.5953,0.6277,431409390.0,654852,0.05054393305439331,313762521.0,1.3749551368501403,0
2024-07-31,0.6278,0.6586,0.6217,0.623,473184106.0,756642,0.008253762744780735,321272015.71428573,1.4728456972760835,0
2024-08-01,0.623,0.6303,0.568,0.5964,423266147.0,711144,-0.005336891260840582,312426178.71428573,1.3547717055652932,0
2024-08-02,0.5965,0.597,0.5464,0.5607,410967898.0,793252,-0.07076566125290029,332745976.0,1.2350799938749673,0
2024-08-03,0.5606,0.5777,0.5406,0.5558,265483095.0,617511,-0.0668233713901949,345961306.5714286,0.7673779985137941,0
2024-08-04,0.5558,0.559,0.5136,0.5228,240108087.0,537001,-0.13040585495675305,354237699.85714287,0.6778162998936332,0
2024-08-05,0.5229,0.5257,0.4319,0.4889,1250454532.0,2219931,-0.1877388270476823,499267607.85714287,2.5045777301014023,0
2024-08-06,0.4889,0.5188,0.4877,0.5062,410337831.0,757849,-0.19356380436514264,496257385.14285713,0.8268649359885626,0
2024-08-07,0.5062,0.6434,0.4922,0.6002,1000802326.0,2160438,-0.036597110754414186,571631416.5714285,1.7507825794507292,0
2024-08-08,0.6003,0.6424,0.5785,0.6166,730482227.0,1482263,0.03386988598256213,615519428.0,1.1867736317820987,0
2024-08-09,0.6166,0.6245,0.5656,0.5805,456932445.0,835608,0.03531300160513662,622085791.8571428,0.7345167675922921,0
2024-08-10,0.5805,0.6022,0.5779,0.5841,213745629.0,450132,0.05091759625764669,614694725.2857143,0.34772647333300216,0
2024-08-11,0.5841,0.5935,0.5452,0.5528,251097812.0,496110,0.05738332058148421,616264686.0,0.4074512424682403,0
2024-08-12,0.5528,0.5795,0.5501,0.5684,355253164.0,555915,0.16260994068316625,488378776.28571427,0.7274131908471134,0
2024-08-13,0.5683,0.5834,0.5626,0.577,252380249.0,476018,0.13986566574476478,465813407.4285714,0.5418054632502187,0
2024-08-14,0.577,0.5828,0.5641,0.5687,253532158.0,418407,-0.05248250583138947,359060526.28571427,0.7060986642632433,0
2024-08-15,0.5687,0.5742,0.5504,0.5607,267098570.0,403994,-0.09065844956211488,292862861.0,0.9120260899179019,0
2024-08-16,0.5608,0.5723,0.5535,0.5638,234628410.0,345760,-0.02876830318690793,261105141.7142857,0.8985974326646625,0
2024-08-17,0.5637,0.571,0.5611,0.5665,68057519.0,120744,-0.030131826741996104,240292554.57142857,0.28322774761533215,0
2024-08-18,0.5664,0.5845,0.5625,0.5631,119904362.0,177640,0.018632416787264905,221550633.14285713,0.5412052328583732,0
2024-08-19,0.5631,0.6091,0.5608,0.5985,387069502.0,540652,0.05295566502463056,226095824.2857143,1.7119710336218568,0
2024-08-20,0.5984,0.615,0.5875,0.5937,276882583.0,459627,0.028942807625649936,229596157.7142857,1.2059547762317457,0
2024-08-21,0.5937,0.6056,0.584,0.5999,274275573.0,468604,0.05486196588711101,232559502.7142857,1.1793780507733764,0
2024-08-22,0.6,0.6049,0.5923,0.5976,207559419.0,317510,0.0658105939004816,224053909.7142857,0.9263815983603253,0
2024-08-23,0.5977,0.616,0.5909,0.6109,297079009.0,410205,0.08354026250443436,232975423.85714287,1.2751517051951562,0
2024-08-24,0.6109,0.631,0.6043,0.6127,242435317.0,479354,0.08155339805825257,257886537.85714287,0.9400851979884963,0
2024-08-25,0.6126,0.614,0.595,0.6,163663049.0,379249,0.06553010122535952,264137778.85714287,0.6196124223809577,0
2024-08-26,0.6,0.6021,0.5782,0.5874,236874640.0,461681,-0.018546365914786977,242681370.0,0.9760726173583082,0
2024-08-27,0.5873,0.6003,0.5528,0.5666,331644513.0,604341,-0.045645949132558594,250504502.85714287,1.3239063937670192,0
2024-08-28,0.5667,0.5845,0.5558,0.5693,312994647.0,701647,-0.05100850141690272,256035799.14285713,1.2224643899322931,0
2024-08-29,0.5692,0.577,0.5573,0.5619,209040650.0,376068,-0.05973895582329325,256247403.57142857,0.8157766560227029,0
2024-08-30,0.5618,0.5678,0.5462,0.5667,258840588.0,508207,-0.07235226714683252,250784772.0,1.0321224288690065,0
2024-08-31,0.5667,0.5721,0.5624,0.5662,67155202.0,204786,-0.0758935857679125,225744755.57142857,0.2974828887165497,0
2024-09-01,0.5662,0.5667,0.5434,0.5472,121191438.0,427935,-0.08799999999999997,219677382.57142857,0.5516791787183387,0
2024-09-02,0.5471,0.5688,0.5443,0.5677,174750033.0,403033,-0.03353762342526401,210802438.7142857,0.8289753859861656,0
2024-09-03,0.5677,0.5724,0.5565,0.5572,179781483.0,396581,-0.01659018708083293,189107720.14285713,0.9506829380851726,0
